,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
434,Tamale,GH,81.43,9.4,-0.84,37,0,3.62
435,Mount Gambier,AU,44.6,-37.83,140.78,87,0,3.36
436,Namibe,AO,78.73,-15.19,12.15,100,48,7.99
437,Nuevo Progreso,US,57.31,26.05,-97.95,50,90,5.3
438,Santa Cruz,US,54.95,36.97,-122.03,93,75,20.8
439,Mangla,IN,35.98,32.54,76.11,79,80,1.95
440,Lorengau,PG,81.39,-2.02,147.27,100,8,3.18
441,Bambanglipuro,ID,70.54,-7.95,110.28,99,88,2.62
442,Nouakchott,MR,71.6,18.08,-15.98,60,0,19.46
443,Stolbovaya,RU,17.91,55.26,37.49,61,0,4.47
444,Qasigiannguit,GL,14,68.82,-51.19,47,20,2.95
445,Srednekolymsk,RU,-12.62,67.46,153.71,78,36,2.39
446,Poya,NC,77.79,-21.35,165.16,94,0,4.18
447,Jertih,MY,73.4,5.74,102.5,94,75,6.08
448,Alofi,NU,78.8,-19.06,-169.92,74,0,10.29
449,Saint Leonard,US,31.5,38.47,-76.51,49,40,16.11
450,Prince Rupert,CA,37.4,54.32,-130.32,51,40,3.36
451,Veraval,FR,49.87,49.65,0.71,93,90,11.41
452,Honningsvag,NO,19.4,70.98,25.97,52,75,5.82
453,Nanortalik,GL,31.12,60.14,-45.24,90,80,23.31
454,Maraa,BR,89.67,-1.83,-65.37,62,36,4.41
455,Sao Gabriel da Cachoeira,BR,85.93,-0.13,-67.09,84,12,3.29
456,Paso de Carrasco,UY,79.57,-34.86,-56.05,65,40,11.41
457,Portland,US,34.02,45.52,-122.67,86,90,4.7
458,Plainview,US,54.28,34.18,-101.71,30,1,23.04
459,Ulety,RU,6.64,51.36,112.48,56,0,2.39
460,Ngunguru,NZ,62.01,-35.62,174.5,94,48,4.41
461,Mbandaka,CD,74.77,0.05,18.26,96,24,3.62
462,Urengoy,RU,9.12,65.96,78.37,83,80,23.53
463,Paamiut,GL,34.27,61.99,-49.67,84,20,28.9
464,Ullapool,GB,41.27,57.9,-5.16,87,92,15.99
465,Hualmay,PE,78.73,-11.1,-77.61,62,24,5.41
466,Margate,AU,44.64,-43.03,147.26,66,20,8.05
467,Tamworth,AU,62.38,-31.09,150.93,77,0,6.93
468,Montes Altos,BR,87.8,-5.83,-47.07,62,40,4.7
469,Nambour,AU,72.18,-26.63,152.96,99,68,1.61
470,Hofn,IS,33.8,64.25,-15.21,69,90,18.34
471,Lodja,CD,70.72,-3.52,23.6,96,56,2.28
472,Caraballeda,VE,76.01,10.61,-66.85,70,0,5.01
473,Uglovka,RU,11.86,58.24,33.51,67,24,7.65
474,Santa Rosalia,IT,59.58,38.07,13.27,77,0,10.29
475,Yaan,NG,85.03,7.38,8.57,62,20,12.12
476,Shelbyville,US,28.99,39.41,-88.79,54,1,13.87
477,Luanda,AO,82.4,-8.83,13.24,78,20,8.05
478,Machelen,BE,51.35,50.91,4.44,87,40,10.29
479,Shawville,CA,14.79,45.61,-76.49,57,56,10
480,Impfondo,CD,71.17,1.62,18.06,99,20,2.28
481,Ubaitaba,BR,86,-14.31,-39.32,74,20,8.05
482,Amahai,ID,82,-3.31,129,86,8,5.64
483,Mehran,IR,41,33.12,46.17,75,0,2.24
484,Una,BR,85.23,-15.29,-39.07,79,75,9.17
485,Den Helder,NL,49.42,52.96,4.76,93,75,17.22
486,Meulaboh,ID,79.77,4.14,96.13,100,12,4.97
487,Katobu,ID,76.44,-4.94,122.53,100,92,5.41
488,Kaeo,NZ,62.01,-35.1,173.78,94,12,4.52
489,Ola,RU,5.65,59.58,151.3,100,48,8.99
490,Alta Floresta,BR,87.8,-9.87,-56.08,66,40,4.7
491,Petrovsk-Zabaykalskiy,RU,12.76,51.27,108.84,70,20,2.39
492,Halifax,CA,24.71,44.65,-63.58,79,90,6.98
493,Salalah,OM,77,17.01,54.1,65,0,6.93
494,Okhotsk,RU,0.16,59.36,143.24,100,0,4.07
495,Tuy Hoa,VN,71.53,13.08,109.3,100,0,3.62
496,Riacho de Santana,BR,80.94,-13.61,-42.94,72,36,8.1
497,Ketchikan,US,37.4,55.34,-131.65,40,1,17.22
498,Kushiro,JP,17.71,43.11,144.15,75,20,6.31
499,Jackson,US,39.52,35.61,-88.82,25,1,5.82
500,Saint Lawrence,MT,57.4,36.06,14.2,100,20,8.05
501,Aksay,RU,44.08,47.27,39.86,75,0,6.71
502,Komatipoort,MZ,73.99,-25.43,31.96,87,20,5.41
503,Ust-Kuyga,RU,-20.77,70,135.55,29,0,4.74
504,Bridlington,GB,49.8,54.08,-0.19,93,48,9.17
505,Jiaohe,CN,9.39,43.72,127.34,73,0,2.62
506,Pesqueria,MX,47.23,25.78,-100.05,61,90,4.7
507,Nhulunbuy,AU,78.8,-12.18,136.78,94,40,6.2
508,Tessalit,ML,61.59,20.2,1.01,15,0,8.99
509,Port Blair,IN,73.4,11.67,92.75,88,20,2.24
510,Itoman,JP,62.89,26.12,127.67,82,90,12.75
511,Takoradi,GH,83.37,4.89,-1.75,98,8,7.43
512,Braga,PT,49.33,41.55,-8.43,71,75,10.29
513,Paraiso,MX,75.85,24.01,-104.61,18,75,9.33
514,San Lorenzo de El Escorial,ES,46.38,40.59,-4.15,75,20,18.34
515,Skibbereen,IE,42.8,51.55,-9.27,81,40,16.11
516,Mendota,US,65.59,36.75,-120.38,59,40,23.04
517,Dongsheng,CN,45.75,29.72,112.52,69,92,14.47
518,Guatire,VE,75.97,10.47,-66.54,63,36,5.99
519,Kolpashevo,RU,12.49,58.31,82.9,85,0,8.99
520,Tonekabon,IR,48.2,36.82,50.88,87,0,2.39
521,Williams Lake,CA,17.6,52.13,-122.14,78,90,4.7
522,Bonthe,SL,80.53,7.53,-12.5,73,0,4.97
523,Bucyrus,US,20.43,40.81,-82.98,57,90,11.41
524,Aykhal,RU,14.92,65.95,111.51,71,64,12.24
525,Borsec,RO,32.41,46.96,25.56,75,0,1.95
526,Karpathos,GR,53.6,35.51,27.21,81,0,5.82
527,Ejea de los Caballeros,ES,48.97,42.13,-1.14,53,24,12.75
528,Kaa-Khem,RU,11.23,51.7,94.56,63,92,4.07
529,Battle Creek,US,19.98,42.32,-85.18,62,90,16.11
530,Coruripe,BR,82.65,-10.12,-36.18,94,80,12.46
531,Pahrump,US,52,36.21,-115.98,93,75,13.87
532,Ormara,PK,67.62,25.21,64.64,92,0,9.89
533,Deputatskiy,RU,-34.81,69.3,139.9,59,0,2.73
534,Chifeng,CN,16.77,42.27,118.96,51,0,4.07
535,Atar,MR,67.48,20.52,-13.05,17,0,7.76
536,Potoru,SL,86.83,7.51,-11.48,40,0,10
537,Lakes Entrance,AU,45.25,-37.88,147.99,79,44,8.21
538,Beeville,US,58.3,28.4,-97.75,46,90,8.05
539,Camacha,PT,60.8,33.08,-16.33,55,20,14.99
540,Inuvik,CA,7.57,68.36,-133.71,60,75,3.36
541,Linares,CL,71.53,-35.85,-71.6,31,0,4.29
542,Pemba,MZ,82.15,-12.97,40.52,83,40,10.29
543,Gravdal,NO,39.85,59.79,5.78,80,75,20.8
544,Arona,IT,48.18,45.76,8.56,87,75,6.93
545,Novovasylivka,UA,30.45,48.2,37.04,81,0,2.84
546,Klamath Falls,US,40.3,42.22,-121.78,93,75,12.75
547,Nha Trang,VN,77,12.24,109.19,88,0,1.12
548,Zadar,HR,55,44.12,15.24,87,0,5.82
549,Mount Isa,AU,71.6,-20.73,139.49,64,0,4.7
550,Dawson Creek,CA,10.4,55.76,-120.23,78,90,5.82
551,Altamont,CA,9.32,49.4,-98.5,65,24,13.87
552,Polovinnoye,RU,35.53,54.79,65.99,92,88,22.97
553,Ikalamavony,MG,61.36,-21.17,46.6,96,20,3.62
554,Bunia,CD,64.47,1.56,30.25,90,24,2.73
555,Worthing,GB,49.86,50.81,-0.37,93,40,17.22
556,Mercedes,UY,82.92,-33.25,-58.03,81,20,4.18
557,Hearst,CA,9.57,49.69,-83.67,47,64,5.86
558,Biskamzha,RU,7.95,53.45,89.53,74,36,2.39
559,Copiapo,CL,73.4,-27.37,-70.33,53,0,11.41
560,Troitskoye,RU,8.26,52.98,84.68,80,64,2.62
561,Rodas,CU,76.42,22.34,-80.56,65,40,17.22
562,Mlimba,TZ,70.99,-8.78,35.81,97,76,1.72
563,Ust-Kut,RU,21,56.78,105.75,87,88,2.39
564,Kieta,PG,77.65,-6.22,155.63,100,92,5.08
565,Mopipi,BW,80.08,-21.2,24.86,43,0,13.24
566,Tshikapa,CD,74.05,-6.42,20.79,94,24,2.17
567,Khorixas,NA,70.77,-20.37,14.96,55,0,4.41
568,San Policarpo,PH,76.39,12.18,125.51,98,56,9.66
569,San Luis,AR,89.4,-33.3,-66.34,40,0,8.21
